TYPEQU,REG,DEP,UU2020,AAV2020,BV2012,EPCI,DEPCOM,PRES_2016,PRES_2021,TYPEQU_TEXT
B301,84,1,1111,652,1034,200040350,1138,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
D705,84,1,1111,652,1034,200040350,1138,1,0,CENTRE ACCUEIL DEMANDEUR D’ASILE
A501,84,1,CSZ,286,1034,200040350,1141,1,0,COIFFURE
D232,84,1,CSZ,286,1034,200040350,1141,1,0,INFIRMIER
E101,84,1,CSZ,286,1034,200040350,1141,1,0,TAXI-VTC
B315,84,1,760,2,69123,240100610,1142,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
D401,84,1,760,2,69123,240100610,1142,1,0,PERSONNES ÂGÉES : HÉBERGEMENT
A506,84,1,1205,GEN,1143,240100750,1143,1,0,PRESSING-LAVERIE AUTOMATIQUE
B305,84,1,1205,GEN,1143,240100750,1143,1,0,MAGASIN D’ÉLECTROMÉNAGER ET DE MAT. AUDIO-VIDEO
D203,84,1,1205,GEN,1143,240100750,1143,1,0,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE
A208,84,1,CSZ,80,1053,200071751,1145,1,0,AGENCE POSTALE
B316,84,1,CSZ,80,1053,200071751,1145,1,0,STATION-SERVICE
D201,84,1,CSZ,168,1283,200042935,1148,1,0,MÉDECIN GÉNÉRALISTE
G102,84,1,CSZ,168,1283,200042935,1148,1,0,HÔTEL
A301,84,1,CSZ,80,1053,200071751,1150,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
B203,84,1,CSZ,80,1004,200071751,1151,1,0,BOULANGERIE
A207,84,1,CSZ,168,1283,200042935,1152,1,0,RELAIS POSTE
E101,84,1,1102,GEN,1173,240100750,1153,1,0,TAXI-VTC
A301,84,1,CSZ,2,1244,240100883,1156,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
A01G,84,1,653,GEN,74012,240100750,1160,1,0,DRFIP ET DDFIP
A301,84,1,653,GEN,74012,240100750,1160,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
D113,84,1,653,GEN,74012,240100750,1160,1,0,MAISON DE SANTÉ PLURIDISCIPLINAIRE
D203,84,1,653,GEN,74012,240100750,1160,1,0,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE
D207,84,1,653,GEN,74012,240100750,1160,1,0,SPÉCIALISTE EN PSYCHIATRIE
D201,84,1,CSZ,80,1266,200071751,1163,1,0,MÉDECIN GÉNÉRALISTE
D221,84,1,CSZ,80,1266,200071751,1163,1,0,CHIRURGIEN DENTISTE
D201,84,1,760,2,69123,200042497,1166,1,0,MÉDECIN GÉNÉRALISTE
B313,84,1,CSZ,CSZ,69019,200070118,1169,1,0,MAGASIN D’OPTIQUE
A507,84,1,1203,168,1269,200042935,1170,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
B203,84,1,1402,168,1283,200042935,1171,1,0,BOULANGERIE
A506,84,1,1401,GEN,1173,240100750,1173,1,0,PRESSING-LAVERIE AUTOMATIQUE
B310,84,1,1401,GEN,1173,240100750,1173,1,0,PARFUMERIE-COSMÉTIQUE
B315,84,1,1401,GEN,1173,240100750,1173,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
D402,84,1,1401,GEN,1173,240100750,1173,1,0,PERSONNES ÂGÉES : SOINS À DOMICILE
D606,84,1,1401,GEN,1173,240100750,1173,1,0,ADULTES HANDICAPÉS : SERVICES DE SOINS À DOMICILE
F102,84,1,CSZ,CSZ,1033,240100891,1174,1,0,BOULODROME
A501,84,1,1125,84,1305,200071371,1175,1,0,COIFFURE
D232,84,1,CSZ,80,1053,200071751,1184,1,0,INFIRMIER
D104,84,1,1129,572,1185,200042935,1185,1,0,ÉTABLISSEMENT PSYCHIATRIQUE
D232,84,1,CSZ,CSZ,1185,200040350,1187,1,0,INFIRMIER
A301,84,1,CSZ,CSZ,1185,200042935,1191,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
G102,84,1,1203,168,1283,200042935,1192,1,0,HÔTEL
G104,84,1,1203,168,1283,200042935,1192,1,0,INFORMATION TOURISTIQUE
A208,84,1,CSZ,80,1053,200071751,1195,1,0,AGENCE POSTALE
D233,84,1,CSZ,80,1053,200071751,1195,1,0,MASSEUR KINÉSITHÉRAPEUTE
A507,84,1,1119,80,1266,200071751,1196,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
B101,84,1,1119,80,1266,200071751,1196,1,0,HYPERMARCHÉ
B203,84,1,CSZ,80,1053,200071751,1197,1,0,BOULANGERIE
A206,84,1,1121,243,1004,200029999,1199,1,0,BUREAU DE POSTE
B313,84,1,1121,243,1004,200029999,1199,1,0,MAGASIN D’OPTIQUE
G102,84,1,CSZ,CSZ,1269,200029999,1200,1,0,HÔTEL
A01G,84,1,1204,505,1202,240100883,1202,1,0,DRFIP ET DDFIP
D303,84,1,1204,505,1202,240100883,1202,1,0,AMBULANCE
E101,84,1,1126,84,1134,200070555,1203,1,0,TAXI-VTC
F103,84,1,CSZ,CSZ,1269,200042935,1204,1,0,TENNIS
F111,84,1,CSZ,CSZ,1269,200042935,1204,1,0,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS
F112,84,1,CSZ,CSZ,1269,200042935,1204,1,0,SALLES SPÉCIALISÉES
F121,84,1,CSZ,CSZ,1269,200042935,1204,1,0,SALLES MULTISPORTS (GYMNASES)
A501,84,1,CSZ,CSZ,1185,200042935,1206,1,0,COIFFURE
A507,84,1,CSZ,GEN,1033,240100750,1209,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
A501,84,1,CSZ,CSZ,1173,240100750,1210,1,0,COIFFURE
D221,84,1,CSZ,80,1053,200071751,1211,1,0,CHIRURGIEN DENTISTE
D242,84,1,CSZ,80,1053,200071751,1211,1,0,DIÉTÉTICIEN
E101,84,1,CSZ,80,1053,200071751,1211,1,0,TAXI-VTC
B203,84,1,CSZ,2,1202,240100883,1213,1,0,BOULANGERIE
A503,84,1,1112,2,38085,240100883,1224,1,0,AGENCE DE TRAVAIL TEMPORAIRE
G102,84,1,1112,2,38085,240100883,1224,1,0,HÔTEL
A301,84,1,CSZ,2,69019,200070118,1225,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
D201,84,1,1101,CSZ,1269,200042935,1228,1,0,MÉDECIN GÉNÉRALISTE
B315,84,1,CSZ,80,1266,200071751,1229,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
D238,84,1,CSZ,80,1266,200071751,1229,1,0,AUDIO PROTHÉSISTE
B315,84,1,CSZ,84,1305,200071371,1231,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
D221,84,1,CSZ,84,1305,200071371,1231,1,0,CHIRURGIEN DENTISTE
A206,84,1,CSZ,80,1266,200071751,1232,1,0,BUREAU DE POSTE
B305,84,1,CSZ,80,1266,200071751,1232,1,0,MAGASIN D’ÉLECTROMÉNAGER ET DE MAT. AUDIO-VIDEO
E101,84,1,CSZ,80,1266,200071751,1232,1,0,TAXI-VTC
A301,84,1,CSZ,CSZ,1034,240100883,1233,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
A207,84,1,CSZ,2,1443,200069193,1235,1,0,RELAIS POSTE
D221,84,1,CSZ,2,1443,200069193,1235,1,0,CHIRURGIEN DENTISTE
A301,84,1,CSZ,80,1266,200071751,1236,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
D233,84,1,CSZ,168,1283,200042935,1237,1,0,MASSEUR KINÉSITHÉRAPEUTE
F106,84,1,760,2,69123,200042497,1238,1,0,CENTRE ÉQUESTRE
A506,84,1,CSZ,286,73330,200040350,1239,1,0,PRESSING-LAVERIE AUTOMATIQUE
A501,84,1,CSZ,168,1283,200042935,1240,1,0,COIFFURE
A506,84,1,CSZ,168,1283,200042935,1240,1,0,PRESSING-LAVERIE AUTOMATIQUE
B313,84,1,CSZ,168,1283,200042935,1240,1,0,MAGASIN D’OPTIQUE
B301,84,1,CSZ,80,1053,200071751,1241,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
A507,84,1,CSZ,2,69123,200070118,1243,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
B308,84,1,1302,2,1244,240100883,1244,1,0,MAGASIN DE REVÊTEMENTS MURS ET SOLS
D210,84,1,1302,2,1244,240100883,1244,1,0,SPÉCIALISTE EN PÉDIATRIE
B311,84,1,CSZ,80,1457,200070555,1246,1,0,HORLOGERIE-BIJOUTERIE
G104,84,1,CSZ,GEN,1173,240100750,1247,1,0,INFORMATION TOURISTIQUE
D221,84,1,CSZ,2,1333,200069193,1248,1,0,CHIRURGIEN DENTISTE
G102,84,1,CSZ,2,1333,200069193,1248,1,0,HÔTEL
A01G,84,1,760,2,69123,240100800,1249,1,0,DRFIP ET DDFIP
B311,84,1,760,2,69123,240100800,1249,1,0,HORLOGERIE-BIJOUTERIE
D108,84,1,760,2,69123,240100800,1249,1,0,CENTRE DE SANTÉ
D203,84,1,760,2,69123,240100800,1249,1,0,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE
D208,84,1,760,2,69123,240100800,1249,1,0,SPÉCIALISTE EN OPHTALMOLOGIE
F101,84,1,760,2,69123,240100800,1249,1,0,BASSIN DE NATATION
G102,84,1,760,2,69123,240100800,1249,1,0,HÔTEL
B304,84,1,760,2,69123,200042497,1250,1,0,MAGASIN DE CHAUSSURES
D201,84,1,760,2,69123,200042497,1250,1,0,MÉDECIN GÉNÉRALISTE
D233,84,1,760,2,69123,200042497,1250,1,0,MASSEUR KINÉSITHÉRAPEUTE
E101,84,1,760,2,69123,200042497,1250,1,0,TAXI-VTC
A501,84,1,CSZ,CSZ,1348,200070118,1252,1,0,COIFFURE
B311,84,1,1116,80,1053,200071751,1254,1,0,HORLOGERIE-BIJOUTERIE
A501,84,1,CSZ,CSZ,69019,200070118,1258,1,0,COIFFURE
B315,84,1,CSZ,CSZ,69019,200070118,1258,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
E101,84,1,CSZ,2,1244,240100883,1260,1,0,TAXI-VTC
B301,84,1,CSZ,2,1333,200069193,1261,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
D242,84,1,CSZ,2,1333,200069193,1261,1,0,DIÉTÉTICIEN
B301,84,1,760,2,69123,240100610,1262,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
B315,84,1,760,2,69123,240100610,1262,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
D602,84,1,760,2,69123,240100610,1262,1,0,ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES
F114,84,1,760,2,69123,240100610,1262,1,0,SALLES DE COMBAT
A205,84,1,451,CSZ,69019,200070118,1263,1,0,SERVICES FUNÉRAIRES
D242,84,1,451,CSZ,69019,200070118,1263,1,0,DIÉTÉTICIEN
D303,84,1,451,CSZ,69019,200070118,1263,1,0,AMBULANCE
A506,84,1,1203,168,1269,200042935,1265,1,0,PRESSING-LAVERIE AUTOMATIQUE
A503,84,1,1119,80,1266,200071751,1266,1,0,AGENCE DE TRAVAIL TEMPORAIRE
D104,84,1,1119,80,1266,200071751,1266,1,0,ÉTABLISSEMENT PSYCHIATRIQUE
D235,84,1,1119,80,1266,200071751,1266,1,0,ORTHOPHONISTE
G103,84,1,1119,80,1266,200071751,1266,1,0,CAMPING
A206,84,1,CSZ,168,1269,200042935,1267,1,0,BUREAU DE POSTE
A507,84,1,CSZ,286,38012,200040350,1268,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
A503,84,1,1124,CSZ,1269,200042935,1269,1,0,AGENCE DE TRAVAIL TEMPORAIRE
D203,84,1,1124,CSZ,1269,200042935,1269,1,0,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE
D210,84,1,1124,CSZ,1269,200042935,1269,1,0,SPÉCIALISTE EN PÉDIATRIE
D214,84,1,1124,CSZ,1269,200042935,1269,1,0,SPÉCIALISTE EN GYNÉCOLOGIE (MÉDICALE ET/OU OBSTÉTRIQUE)
F112,84,1,1124,CSZ,1269,200042935,1269,1,0,SALLES SPÉCIALISÉES
F116,84,1,1124,CSZ,1269,200042935,1269,1,0,SALLES NON SPÉCIALISÉES
A206,84,1,CSZ,524,1093,200069193,1272,1,0,BUREAU DE POSTE
B203,84,1,CSZ,524,1093,200069193,1272,1,0,BOULANGERIE
A507,84,1,CSZ,CSZ,1004,200029999,1273,1,0,INSTITUT DE BEAUTÉ-ONGLERIE
E101,84,1,CSZ,CSZ,1004,200029999,1273,1,0,TAXI-VTC
A207,84,1,1124,CSZ,1269,200042935,1274,1,0,RELAIS POSTE
A501,84,1,CSZ,2,69123,240100610,1276,1,0,COIFFURE
G104,84,1,CSZ,2,69123,240100610,1276,1,0,INFORMATION TOURISTIQUE
D233,84,1,653,GEN,74012,240100750,1281,1,0,MASSEUR KINÉSITHÉRAPEUTE
D235,84,1,653,GEN,74012,240100750,1281,1,0,ORTHOPHONISTE
D112,84,1,1402,168,1283,200042935,1283,1,0,HOSPITALISATION À DOMICILE
D203,84,1,1402,168,1283,200042935,1283,1,0,SPÉCIALISTE EN DERMATOLOGIE VÉNÉRÉOLOGIE
D209,84,1,1402,168,1283,200042935,1283,1,0,SPÉCIALISTE EN OTO-RHINO-LARYNGOLOGIE
F116,84,1,1402,168,1283,200042935,1283,1,0,SALLES NON SPÉCIALISÉES
A301,84,1,CSZ,84,1305,200071371,1284,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
B203,84,1,CSZ,50,73330,200040350,1286,1,0,BOULANGERIE
F111,84,1,CSZ,50,73330,200040350,1286,1,0,PLATEAUX ET TERRAINS DE JEUX EXTÉRIEURS
F113,84,1,CSZ,50,73330,200040350,1286,1,0,TERRAINS DE GRANDS JEUX
D235,84,1,1118,GEN,74012,240100750,1288,1,0,ORTHOPHONISTE
D602,84,1,1501,80,1053,200071751,1289,1,0,ENFANTS HANDICAPÉS : SERVICES À DOMICILE OU AMBULATOIRES
G102,84,1,1501,80,1053,200071751,1289,1,0,HÔTEL
G104,84,1,1501,80,1053,200071751,1289,1,0,INFORMATION TOURISTIQUE
A501,84,1,1302,2,1244,240100883,1290,1,0,COIFFURE
D401,84,1,1302,2,1244,240100883,1290,1,0,PERSONNES ÂGÉES : HÉBERGEMENT
D232,84,1,CSZ,80,1457,200070555,1291,1,0,INFIRMIER
A207,84,1,CSZ,286,1034,200040350,1294,1,0,RELAIS POSTE
A501,84,1,CSZ,2,69123,240100610,1297,1,0,COIFFURE
A301,84,1,CSZ,2,1443,200069193,1299,1,0,RÉPARATION AUTOMOBILE ET DE MATÉRIEL AGRICOLE
D221,84,1,1106,80,1053,200071751,1301,1,0,CHIRURGIEN DENTISTE
A01G,84,1,CSZ,CSZ,1004,200029999,1303,1,0,DRFIP ET DDFIP
B301,84,1,CSZ,CSZ,1004,200029999,1303,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
B310,84,1,CSZ,CSZ,1004,200029999,1303,1,0,PARFUMERIE-COSMÉTIQUE
B311,84,1,CSZ,CSZ,1004,200029999,1303,1,0,HORLOGERIE-BIJOUTERIE
G104,84,1,CSZ,CSZ,1004,200029999,1303,1,0,INFORMATION TOURISTIQUE
B301,84,1,1110,CSZ,1004,200029999,1304,1,0,"LIBRAIRIE, PAPETERIE, JOURNAUX"
E101,84,1,1110,CSZ,1004,200029999,1304,1,0,TAXI-VTC
A01G,84,1,1125,84,1305,200071371,1305,1,0,DRFIP ET DDFIP
B310,84,1,1125,84,1305,200071371,1305,1,0,PARFUMERIE-COSMÉTIQUE
B315,84,1,1125,84,1305,200071371,1305,1,0,MAGASIN DE MATÉRIEL MÉDICAL ET ORTHOPÉDIQUE
E101,84,1,1125,84,1305,200071371,1305,1,0,TAXI-VTC
